capture_name,Repeat,X,Y,Z,L*,a*,b*,dE00*C
solid_blue_pupil_3,1,183.5495,31.696184,963.00519,100,413.2141005,-406.6206439,41.13974468
solid_blue_pupil_3,2,182.43004,31.414544,956.6788,100,414.0691764,-407.0928242,41.14437672
solid_blue_pupil_3,3,183.87306,31.723008,964.76668,100,413.4927693,-406.8191549,41.14144251
solid_blue_pupil_3,4,183.0625,31.548115,960.21277,100,413.8309392,-406.9803853,41.14316741
solid_blue_pupil_3,5,182.98875,31.527334,960.04162,100,413.9089155,-407.077645,41.143816
solid_blue_pupil_3,6,183.68489,31.718777,964.18456,100,413.2216511,-406.7240578,41.14020144
solid_blue_pupil_3,7,183.61879,31.641157,962.93483,100,413.8581478,-406.9573146,41.14315544
solid_blue_pupil_3,8,183.66698,31.757034,963.48786,100,412.8251212,-406.3342122,41.13733259
solid_blue_pupil_3,9,182.84602,31.457543,959.17064,100,414.3464239,-407.3424851,41.14627872
solid_blue_pupil_3,10,182.38555,31.328852,956.5333,100,414.8274382,-407.6150287,41.14890439
solid_blue_pupil_3,11,183.32358,31.647736,961.90248,100,413.3048431,-406.6982869,41.1403522
solid_blue_pupil_3,12,183.06257,31.477482,959.37862,100,414.5140668,-407.2581052,41.14644621
solid_blue_pupil_3,13,182.58598,31.411553,957.72756,100,414.3585688,-407.3338607,41.14628037
solid_blue_pupil_4,1,164.21126,29.008222,891.5002,100,406.3260736,-408.9431476,41.12811249
solid_blue_pupil_4,2,164.97306,29.172949,896.22956,100,406.0137016,-408.8677154,41.12681961
solid_blue_pupil_4,3,165.61853,29.382782,899.71842,100,405.029087,-408.2020354,41.12091257
solid_blue_pupil_4,4,164.62129,29.051446,893.65341,100,406.6297143,-409.1306097,41.12985275
solid_blue_pupil_4,5,164.51375,29.018931,892.823,100,406.7706693,-409.1692269,41.13045466
solid_blue_pupil_4,6,165.39849,29.242917,898.31524,100,406.0680491,-408.8532962,41.12692751
solid_blue_pupil_4,7,165.13699,29.214277,897.04609,100,405.8861232,-408.7652324,41.12598638
solid_blue_pupil_4,8,164.56003,29.081977,893.59465,100,406.1999006,-408.9040285,41.12755361
solid_blue_pupil_4,9,165.52089,29.229447,898.9186,100,406.4306962,-409.0831132,41.12903239
solid_blue_pupil_4,10,164.58425,28.980883,893.25128,100,407.2968844,-409.5331276,41.13363028
solid_blue_pupil_4,11,165.1987,29.220297,896.92868,100,405.9367267,-408.6968645,41.12585316
solid_blue_pupil_4,12,165.28589,29.23397,897.21963,100,405.9547944,-408.667752,41.12578559
solid_blue_pupil_4,13,163.33255,28.877648,887.36349,100,406.0681015,-408.9148264,41.12718928
solid_blue_pupil_5,1,168.06985,29.333393,923.2198,100,409.9824928,-413.7962621,41.1598013
solid_blue_pupil_5,2,168.29926,29.42038,925.07139,100,409.4981974,-413.6003898,41.15750751
solid_blue_pupil_5,3,168.61177,29.474619,926.96736,100,409.5022175,-413.6424337,41.15769547
solid_blue_pupil_5,4,168.30935,29.378646,924.8307,100,409.9468418,-413.837557,41.15986504
solid_blue_pupil_5,5,168.25948,29.387492,924.8532,100,409.7656587,-413.7809374,41.15907686
solid_blue_pupil_5,6,168.47391,29.481793,926.39689,100,409.1805172,-413.4667585,41.15597962
solid_blue_pupil_5,7,167.60901,29.214564,920.89997,100,410.3809967,-414.1120976,41.1623308
solid_blue_pupil_5,8,168.39936,29.420926,925.6147,100,409.6728495,-413.7166957,41.15852582
solid_blue_pupil_5,9,167.69133,29.297618,921.64241,100,409.6687987,-413.6960799,41.15842737
solid_blue_pupil_5,10,167.96865,29.318312,922.56487,100,409.9557835,-413.7562862,41.15955313
solid_blue_pupil_5,11,165.2861,28.763281,907.80039,100,410.8702181,-414.3661557,41.1648748
solid_blue_pupil_5,12,167.77606,29.213711,921.58797,100,410.692208,-414.2709714,41.16393818
solid_blue_pupil_5,13,168.40482,29.42226,925.8907,100,409.6689324,-413.7684127,41.15872987
solid_blue_pupil_6,1,169.01608,30.767135,984.53773,100,397.2996996,-417.1987984,41.13551825
solid_blue_pupil_6,2,173.77448,31.603286,1012.8608,100,397.5840333,-417.5173206,41.13774916
